"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Widget,Widget,5,Dachshund
Dog,Stella Bo Bella,Stella,6.5,Mixed
Dog,Tilly,Tills,13,Chocolate Labrador Retriever
Dog,Peter Peter Pumpkin Eater,Petey,5,Pitbull
Dog,Remy,Rem,1,Mixed
Dog,Oreo,Oreo,7,Mixed
Dog,Ljus  (Swedish word for light),Ljus,0.2685078634445723,Golden Retriever
Dog,Bambi,Bambs,3,Mixed
Dog,Layla â€˜The Tankâ€™,Layla,3,Pitbull
Dog,Benny ,Ben,1,Mixed
Dog,Milo,Milo,7,Bichon Frise
Dog,Mocha,Mocha,3,Mixed
Dog,Shadow,Shadow,15,Golden Retriever
Dog,Luna,Luna,1,Great Pyrenees
Dog,Cody,"Baby, Pookie",13,Mixed
Dog,Oatmeal,Oatmeal,0.5833333333333334,Golden Retriever
Dog,Ginger,Nugget,10,Chihuahua
Dog,Starbuck Louise,Starbuck,4,Goldendoodle
Dog,Mocha Antoinette,Mocha,7,Mixed
Dog,Oscar,Oscar,10,Mixed
Dog,Magnolia Mae,Noli,2.5,Great Pyrenees
Dog,George Cooper,Georgie,2,Golden Retriever
Dog,Cayenne,Cayenne,8,German Shepherd
Dog,Olive Oil,Olive,2,Australian Shepherd
Dog,Brook,Brookie,7,Golden Retriever
Dog,Sparkie,"Spark, Sparkie, sparkle",4,Mixed
Dog,Max,Maxie,16,Cairn Terrier
Dog,Howard,Howie,10,Mixed
Dog,Ella Fitzgerald,Ella,12,
Dog,Josephine Bakes,Josie,5,Mixed
Dog,Lennie,Lennie,2,Treeing Tennessee Brindle
Dog,Cody James,Buddy,1.5,Golden Retriever
Dog,Jake,Jake,2,Golden Retriever
Dog,Gail,Gail,3,Treeing Tennessee Brindle
Dog,Lucky,"Luck, Luckboy, Luck duck",3,Mixed
Dog,Darcy,Darcy,3,Cocker Spaniel
Dog,Luke Anakin,Luke,9,Golden Retriever
Dog,Sadie,Sadie Pot Pie,10,Mixed
Dog,Hazel Nut,Hazel,3,Australian Shepherd
Dog,Bourbon,Bourbon,3,Mixed
Dog,Riley,Smiley Riley,13,Golden Retriever
Dog,Mr. Nubs,Mr. Nubs,16,Corgi
Dog,Bentley,Bentley boy,3,Labradoodle
Dog,Fenway,Fenway,6,Boston Terrier
Dog,Benelli,Name,3,Black Labrador Retriever
Dog,Washington the Destroyer,Wash,6.5,Chocolate Labrador Retriever
Dog,Philomenos,"Philo, Phil, phi phi",9,Portuguese Water Dog
Dog,Stampy Wiggles,Stampy,10,Goldendoodle
Dog,Jasmine,Jaz,5,Golden Retriever
Dog,Emma,Puppy,1,Chocolate Labrador Retriever
Dog,Winston,Wintin,4,Mixed
Dog,Torchenay Be Cool,Max,13,Beagle
Dog,Brutus,Brutus,7,Yellow Labrador Retriever
Dog,Lucu,Puppy,7,Mixed
Dog,Mosephine,Mo,1,Poodle
Dog,Abegeweit,Abi (Abby),16,Mixed
Dog,Kramer,Kray Kray,12,Golden Retriever
Dog,Rusty,Wusty,5,Golden Retriever
Dog,Demi,"Dems, demi dog, the queen",6,Mixed
Dog,Alfredog,Alfie,11,Mixed
Dog,Shorty Do-Op,Shorty,15,Mixed
Dog,Penny,Penny,3,Australian Shepherd
Dog,Tuxedo,Tux,1.5,Miniature Schnauzer
Dog,Sally,Sally,7,Golden Retriever
Dog,Lola,Lola,6,Mixed
Dog,Gustav,Goober,10,German Shepherd
Dog,Poppy Sue Galushka Clementine,Poppy,4,Treeing Walker Coonhound
Dog,Duke,Duke,3,Australian Shepherd
Dog,Millie,Mills,7,Jack Russell Terrier
Dog,Sir Winston of Weston,"Winston , Winnie",10,Golden Retriever
Dog,Angus OgDog Dogga McDuff,Angus,13,West Highland White Terrier
Dog,Lady,Doofus,6,Mixed
Dog,Maggie Peaches,Maggie,13,Bichon Poodle
Dog,Camembert,Cami,5,Bernese Mountain Dog
Dog,Shadow,Shadow,3,Saluki
Dog,archer,archer,3,Golden Retriever
Dog,robbie,robz,1.5,Whippet
Dog,Roxy,Roxy,8,Pitbull
Dog,Ashton Sebastian,Ash,9,Pitbull
Dog,Maximum,Max,10,Puggle
Dog,Rosalind Pearl,Rosie,5,Border Collie
Dog,Chyna,Chyna,16,Mixed
Dog,Sadie,Sadie,4,Cockapoo
Dog,Flynn,Flynn,0.9166666666666666,Corgi
Dog,Loki,Loki,3,
Dog,Trixie,Trix,3,Mixed
Dog,Birdy,Birdy,4,Mixed
Dog,Vince,Vincie,11,Yellow Labrador Retriever
Dog,Cobert,Cob,2,Dalmatian
Dog,Jack Daniel,Jackie,3,Chocolate Labrador Retriever
Dog,Crinkle,Crinkle,7,Mixed
Dog,Maisy Lynn Marie,Mimsy,6,Beagle
Dog,Beemer,Beemo,7,Labradoodle
Dog,Mac,Mac,5,Mixed
Dog,Maximillion Taxi,Max,9,Yellow Labrador Retriever
Dog,Krypto,Dinky,6,Golden Retriever
Dog,Bo Jangles,Bo,0.8,Mixed
Dog,Brixton,Brixie,1,Golden Retriever
Dog,Jasper,Jasper,10,Miniature Labradoodle
Dog,Shadow Montgomery,Lovebug,2,Golden Retriever
Dog,Scout,Scout,14,Beagle
Dog,Libby,Libby,12,Golden Retriever
Dog,Jasper Tucker Oaf,Jasper,11,Black Labrador Retriever
Dog,Tazmanian Devik,Taz,9,Mixed
Dog,Iggy Pup,Iggy,0.3333333333333333,Miniature Labradoodle
Dog,Lilly,Lilly,12,Labrador Retriever
Dog,Furrdinand,Furrdie,10,Pomeranian
Dog,Monster Mayhem,Doodle,8,Dachshund
Dog,Watson,Watson,6,Labrador Retriever
Dog,Shine,Shine,12,Mixed
Dog,Freeney Schnurpel,Freenster,13,Shih Tzu
Dog,Bella Jean,Bella,,Mixed
Dog,Ratchet,Ratchie,5,Dachshund
Dog,Clifford,Clifford,4,Cocker Spaniel
Dog,Goose,Gooby,1,Mixed
Dog,Magnus,Munchkin,7,Cairn Terrier
Dog,Shilohâ€™s Dixie Skye,Dixie,8,Miniature Schnauzer
Dog,Bootsie,BootsToots,17,Mixed
Dog,Mindy,Mindy,10,Black Labrador Retriever
Dog,Spock,Spock,7,Mixed
Dog,Merlin,Mer-dog,12,Chesapeake Bay Retriever
Dog,Sylvia Plath,Sylvia,3,German Pointer
Dog,Smokey Neyland,Smo,9,Mixed
Dog,Rufus Tee Hilderbrec,Rufus,11,Shih Tzu
Dog,Baillie,B or B-Dog,7,Border Collie
Dog,Sebastian,Bash,0.3333333333333333,Maltipoo
Dog,Tess,Tess,13,Mixed
Dog,Zorro,Z,8,Chihuahua
Dog,Deacon,Deac,11,Chesapeake Bay Retriever
Dog,Robert Ferguson Mooney,Bobby,6,Golden Retriever
Dog,James buchanan barnes,Bucky,2,
Dog,Buddy Boy,Buddy,16,Cocker Spaniel
Dog,Belle Watling,Belle,2,Maltese
Dog,Magladon wagladon,Maggie,1,Old English Sheepdog
Dog,Bella,Bella,14,
Dog,Sophie,Sophie,11,Golden Retriever
Dog,Stewart Little,Stewie,16,Pomeranian
Dog,Sadie,Sadie,0.9166666666666666,Golden Retriever
Dog,Ashley Wilkes,Ash,11,Mixed
Dog,Oliver Jospeh Andrew,Oliver,11,Golden Retriever
Dog,Rhett,Rhetters,12,English Springer Spaniel
Dog,Lily,Lil,5,Golden Retriever
Dog,Cookie,CookieMonster,8,Shih Tzu
Dog,Brutus,Brutus,10,Mixed
Dog,Ralph,Ralph,0.3333333333333333,Golden Retriever
Dog,Kurt,Kurtis,2,Black mouth cur
Dog,Lyra Cristina,Lyra,0.75,Mixed
Dog,Bailey bear,Bay girl,6,Mixed
Dog,Brooklyn,Brooklyn,2,Beagle
Dog,Champion Craig,Champ,14,Beagle
Dog,Lennox,Lenny,4,Shih Tzu
Dog,Sullivan Otis,Sulley,10,Catahoula
Dog,Hank,Hanky panky,1,Black mouth cur
Dog,Allie Nichols,Allie,5,Mixed
Dog,Lila,Lila,5,Newfoundland
Dog,Liberty Louise,Libby,9,English Springer Spaniel
Dog,Jimmy,JimmyJamSunshineMan,5,Shih Tzu
Dog,Rocky,Rocko,9,Rottweiler
Dog,Sheldon Michael,Shel,7,Mixed
Dog,Jackson,Pupper,3,Australian Cattle Dog
Dog,Maxwell Amos,Max,10,Catahoula
Dog,Margaret Lewis,Maggie,11,Mixed
Dog,ginger,Geeper Creeper,10,Golden Retriever
Dog,Gator,Tate,8,Mixed
Dog,Badger,Badger,12,Dachshund
Dog,Beauregard,Beau,22,Golden Retriever
Dog,Buffy,Buffy and/or Buffalo,8,Mixed
Dog,duque,duque,1,Mixed
Dog,Mika,Mika,5,Husky
Dog,Scarlett,Little Girl,8,Border Collie
Dog,Macy,Macy,11,Golden Retriever
Dog,Gromit Walker,Gromit,8,Golden Retriever
Dog,Gracie Lou Freebush,Gracie,9,Mixed
Dog,River,River,0.2685078634445723,Husky
Dog,Olaf,Olaf,4,Chihuahua
Dog,Buttons,Buttons (sometimes with a french accent),2,Beagle
Dog,Stevie James,Steve,9,Maltipoo
Dog,Mila,Crusty,14,Rottweiler
Dog,Murphy,Murph,5,Golden Retriever
Dog,Oscar the Amazing VelcroDog,Oscar,12,Terrier
Dog,Poppy,Poppy,4,Shih Tzu
Dog,Ellie Mae,Ellie,13,Cocker Spaniel
Dog,Snowy,Snow,11,Shih Tzu
Dog,Bruno,Bruno,4,Border Collie
Dog,Mona,Mona,12,Beagle
Dog,Yaz,Yazzy,11,Golden Retriever
Dog,Princess Leia Organa,Princess,,Mixed
Dog,Oakley,"Oak, oakey-doke",3,Shih Tzu
Dog,Tinkerbell,Tinky,4,Chihuahua
Dog,Beckett,Beckett or Becky,9,Golden Retriever
Dog,Logan,Logan,10,Black Labrador Retriever
Dog,Daisy Grace,Daisy,8,Mixed
Dog,Lila Betterhalf,Lila,13,Greyhound
Dog,Tula Jean,Tula,1,
Dog,Odin,Odin,1,Mixed
Dog,Annie Piker,Annie,8,Greyhound
Dog,Rusty,Rusty,4,Golden Retriever
Dog,Stella Luna,Stella,4,Yellow Labrador Retriever
Dog,Pancho Villa,Pacho,12,Pug
Dog,Waldo,Waldo,9,Cockapoo
Dog,Yadier,Yadi,4,Golden Retriever
Dog,Ruby Gem,Ruby,4,Terrier
Dog,BuddyGus,Buddy or Boo,1.6666666666666667,Golden Retriever
Dog,Homer,Homie,5,Springer Spaniel
Dog,Pippie,Pippie or Pippo,2,Mixed
Dog,Parker,,6,Beagle
Dog,Chipper Doodle,Chip,12,Chocolate Labrador Retriever
Dog,Jack,Jack,7,Labrador Retriever
Dog,Xena,Xena,14,Miniature Pinscher
Dog,Gabby,Gabby,2,Golden Retriever
Dog,Rosebud,Rosie,10,Beagle
Dog,Cooper,Coopee,10,Yorkshire Terrier
Dog,Shakota,Shakota,12,Siberian Husky
Dog,Wilbur,Wilby,7,French Bulldog
Dog,Finn T. Dog,Finn,0.4166666666666667,Weimaraner
Dog,Baylee,"Baylee Boo, Taps",2,
Dog,Sprocket,"Bark, sprock, spark",17,Mixed
Dog,Sophie,Sophie,13,Maltese
Dog,Sasha,Chunk,1,Mixed
Dog,Kookie (pronounced cookie) Pants,Noodle,15,Jack Russell Terrier
Dog,Miss Maisy Cakes,Maisy,1,Mixed
Dog,Han Solo,Solo,3,Cocker Spaniel
Dog,Lillith Anne,Lily,6,Alaskan Husky
Dog,Michelangelo,Mikey,11,Cocker Spaniel
Dog,Freddie Beagle,Fred or Freddie,11,Beagle
Dog,Pieper,Pooper,4,
Dog,Jacob,Jake,6,Alaskan Husky
Dog,Titus Augustus,Tidy,9,American Foxhound
Dog,,Cirrus,2,Poodle
Dog,Shelby,Shelby,14,Labrador Retriever
Dog,,Nimbus,0.5,Poodle
Dog,Finn,Finn,1,Cavalier King Charles Spaniel
Dog,Tessie Joan (of Arc),Tessie,7,American Foxhound
Dog,Ginger,Ginger,12,Golden Retriever
Dog,Sadie,Sadie,6,Golden Retriever
Dog,Flicka,Flicky,12,Labrador Retriever
Dog,Koda Kingslayer,Koda,2,Golden Retriever
Dog,Flicka,Flicky,12,Labrador Retriever
Dog,Maggie,Ms America,7,Golden Retriever
Dog,Henry (after Dorian Grey),Henry,1,Brittany
Dog,Megan,Puppy,10,Mixed
Dog,Hopper T. Dog,Hops,6,Golden Retriever
Dog,Snickers,Snickers,10,Beagle
Dog,Venkman,Venk,5,Golden Retriever
Dog,Murphy,Murph,0.5,Cocker Spaniel
Dog,Maggie,Schmieg,12,Golden Retriever
Dog,Jasmine,Jasmine,13,Golden Retriever
Dog,Hurley Pearly Sky-Sky,Hurley,7,Shih Tzu
Dog,Queso,Queso,14,Golden Retriever
Dog,Breezy Anne,Breezy,5,German Shepherd
Dog,Riley,Riley,7,Golden Retriever
Dog,Homer J,Homer,10,Mixed
Dog,Tucker,Tucker,7,Golden Retriever
Dog,Abby,Abby,3,Mixed
Dog,Cooper Triple Bogey,Coop,0.17261219792865362,Golden Retriever
Dog,Shelby,Shelby,1,Blue Tick Coon Hound
Dog,Oakley Dalton,Oaks,6,
Dog,Lucy Lou,Goose,9,Golden Retriever
Dog,Niles Crane,Niles,4,Border Collie
Dog,Little Lucky One,Lucky,13,Chihuahua
Dog,Benjamin Sebastian,Benjamin,7,Mixed
Dog,Siris Maximus,Sirius,5,Alaskan Husky
Dog,Blaze,Blaze,5,Labrador Retriever
Dog,Brody,Brody,11,Yorkshire Terrier
Dog,Director of Chaos,D.O.C.,4,Boxer
Dog,Cody,Codes,11,Golden Retriever
Dog,Emma,Rotta,6,Mittelspitz
Dog,Isabella Grace,Bella,7,Maltese
Dog,Cookie Boogie,Boogie,3,
Dog,Salina,Salina,2,Mixed
Dog,Theodore James,Theo,5,Maltese
Dog,Ofelia,Ofie Lofie,15,Norwich Terrier
Dog,Hermie,Hermie,3,Chocolate Labrador Retriever
Dog,Jackson Baines Hardin,"Jackson, Jack",14,Mixed
Dog,Rudy,Rudy,12,Black Labrador Retriever
Dog,Chuchi,Baby Chu,9,Poodle
Dog,Belle Silver,Bobo,3,Brittany
Dog,Phoebe Buffay,Phoeb,4,Terrier
Dog,Precious Presley,Presley,1,Yellow Labrador Retriever
Dog,Sarah Jessica Parker,Parker,8,Beagle
Dog,Princess Leah,Leah,8,Miniature Schnauzer
Dog,Mr Duke of Carol Stream,Boo-Boo,10,Labrador Retriever
Dog,Bruno Mars,Bruno,4,Shih Tzu
Dog,Reggie,Reg,8,Border Collie
Dog,Twixie,Gooben,2,
Dog,Kody,Kode,10,Golden Retriever
Dog,Maverick Clinton,Maverick,10,Labrador Retriever
Dog,Sven,Bean,5,German Shepherd
Dog,Lola,Lola,11,Poodle
Dog,Sophie,Sophie,2,Rottweiler
Dog,Lily Potter,Lil,2,German Shepherd
Dog,Dougie McFly,Dougie,11,Cairn Terrier
Dog,RileyRoo,Riley,2,Mixed
Dog,Dobby,Boober,4,Pembroke Welsh Corgi
Dog,Lando,Lando,5,Bernese Mountain Dog
Dog,Tucker Paul,Tuck Tuck,6,Pitbull
Dog,Schnitzel Von Krumm,Ninnel,11,Dachshund
Dog,Wrigley,Wriglry pigley,13,Beagle
Dog,Wally,Wal,0.3333333333333333,Golden Retriever
Dog,Snickers,Doodle,11,Beagle
Dog,Charlie,Charlie,9,Cockapoo
Dog,Pepper,Pep,0.7916666666666666,Cocker Spaniel
Dog,Brownie,Brownie,13,Beagle
Dog,Echo,Beck,3,Mixed
Dog,Banky,Banky,10,Basset Hound
Dog,Koda,Koda,6,Chihuahua
Dog,Clifford,Cliff,6,Mixed
Dog,Coco,Coco Bear,7,Mixed
Dog,Charlie,Charlie,8,Pitbull
Dog,Mojo,Moj,5,Mixed
Dog,Hank,Hank,2,Mixed
Dog,Sebastian,Fritz,15,Mixed
Dog,Hank,Hanky,2,Yellow Labrador Retriever
Dog,Ella,Ells Bells,14.5,Cocker Spaniel
Dog,Frappuccino,Frappie,7,Labradoodle
Dog,Gracie,Grace,12,Shih Tzu
Dog,Phoebe,Phoebe,2,Goldendoodle
Dog,Uma Strawn McGuire,Uma,4,Golden Retriever
Dog,Buster,Boop squared,13,Terrier
Dog,Eva Marie,Eva,3,Chihuahua
Dog,Mia Hamm,Mia,11,Golden Retriever
Dog,alia atreides,allie,5,Mixed
Dog,lexie,lex,0.8333333333333334,Golden Retriever
Dog,Bernard,Bernard,5,Boxer
Dog,Myles - his roman name is Squirtacus Mylonius,Myles,10,Cockapoo
Dog,Millie,Millie,9.5,Mixed
Dog,Bodhi,Bo,6,Golden Retriever
Dog,Mooch,Mooch,9,Terrier
Dog,Piper,Pipes,4,Mixed
Dog,Charles,Charlie,10,Corgi
Dog,Willow,Willow,3,Mixed
Dog,Glamis Schedule K1,Kona,5,Golden Retriever
Dog,Bandit Raye,Bandi,12,
Dog,Anderson,Andy,12,Mixed
Dog,Mars Harambe,Pickle,3,Catahoula
Dog,Claudio Atlas Wolfric,Claudio,8,Dachshund
Dog,Lawson H Dog,Hogan,16,Briard
Dog,Tucker,"Tucker, dude, bud",1,Mixed
Dog,Ames,Ames,5,Husky
Dog,Franc,Franc,0.3333333333333333,Mixed
Dog,Oliver Jackson,Oliver/Baby/Little Man,5,Mixed
Dog,Dolly Doodle Dogger,Dolly,6,Labradoodle
Dog,Cassie,Cassie,5,Mixed
Dog,Logan,Logan brogran,2,Rhodesian Ridgeback
Dog,Basil,Basil,7,Mixed
Dog,Marble,Marble,5,Mixed
Dog,Hollie,Hollie,14,West Highland White Terrier
Dog,Cash Money,Cashie,2,Labrador Retriever
Dog,Seamus,Shamie Bameee,11,Rhodesian Ridgeback
Dog,Nash,Nash,2,Labrador Retriever
Dog,Sian Ben Ryan,Sian or Sisi,14,West Highland White Terrier
Dog,Bear 2,Bear,7.5,Mixed
Dog,Charles Barrath McIntyre,Barry,6,Basset Hound
Dog,Margeurite Larioux Gonzales,Maggie,6,Chihuahua
Dog,Rusty,Rusty,2,Mixed
Dog,Starfire,Star,15,Maltipoo
Dog,Nova,Nova,,Mixed
Dog,Dinty,The Dint,5,Terrier
Dog,Kadie Jo,Kadie Jo,6,Labrador Retriever
Dog,Daisy Duke,Daisy,4,Mixed
Dog,Sunny Sunday Sky,Sunny,15.5,Beagle
Dog,Bailey,Bailey,3,Border Collie
Dog,Bosco Spaghettio,Bosco,9,Border Collie
Dog,Tansei,Duffus,7,Shiba Inu
Dog,Molly,Molly,16,Golden Retriever
Dog,Duke Dukington,Duka,3,Mixed
Dog,Prince Phillip the 2nd,"Phillip, Daddy-o",12,West Highland White Terrier
Dog,Petey,Petey poopoo head,11,West Highland White Terrier
Dog,President Nixon,Nixy,8,Mixed
Dog,Daisy Doodle Fat Kid with Butt Spots,Daisy,4,Mixed
Dog,Benry of Willowbrook,Benry,8,Golden Retriever
Dog,Qoda,Qoda,2.5,Golden Retriever
Dog,Ziggy Starsog,Zig,1.5,Mixed
Dog,Samuel Labrador,Sam,13,Labrador Retriever
Dog,Bentley Boy,Bentley,13,Mixed
Dog,Taco Belle,Taco,,
Dog,Pluto,Pluto,,Golden Retriever
